start_date_local,name,distance,moving_time,location_country
2022-10-14 07:37:47,晨间跑步,2358.0,0:16:55,"佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2022-10-20 07:30:13,晨间跑步,3012.0,0:22:20,"金融港四路, 佛奥俊贤雅居, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-03-12 10:39:47,晨间跑步,4082.6,0:38:25,"安居路, 后湖街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-03-15 08:52:32,晨间跑步,2009.6,0:17:19,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-03-25 06:18:40,晨间跑步,5125.3,0:44:50,"丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-03-27 08:15:47,晨间跑步,3973.8,0:23:20,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-03-28 07:43:10,晨间跑步,4918.1,0:23:50,"光谷大道, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-03-29 07:53:09,晨间跑步,4639.7,0:27:50,"金融港四路大舒村站, 金融港四路, 佛奥俊贤雅居, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-03-29 20:52:16,傍晚跑步,2900.0,0:18:05,"堤角前街, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2023-03-30 08:15:02,晨间跑步,2326.9,0:16:25,"佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-03-31 07:11:25,晨间跑步,5321.5,0:31:20,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-01 07:38:10,晨间跑步,5719.3,0:35:10,"堤角前街, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2023-04-02 07:59:08,晨间跑步,3150.3,0:27:48,"后湖大道, 后湖街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-05 07:39:20,晨间跑步,4381.0,0:32:35,"后湖大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-06 07:16:03,晨间跑步,5214.6,0:41:49,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-07 07:14:58,晨间跑步,5087.3,0:36:45,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-08 07:39:40,晨间跑步,3149.7,0:23:34,"丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-09 20:24:48,晨间跑步,1219.5,0:10:00,"解放大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-10 08:52:58,晨间跑步,3012.8,0:23:50,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-11 07:28:41,晨间跑步,3856.2,0:25:30,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-12 07:18:48,晨间跑步,6014.8,0:49:40,"佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-14 07:39:13,晨间跑步,3555.4,0:24:55,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-15 07:29:02,晨间跑步,7003.1,0:58:41,"后湖大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-16 08:46:10,晨间跑步,5208.1,0:43:21,"后湖大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-04-17 07:52:23,晨间跑步,3142.6,0:24:37,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-18 07:17:58,晨间跑步,10241.7,1:10:45,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-18 19:26:35,傍晚跑步,3144.5,0:23:45,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-19 07:16:06,晨间跑步,3414.8,0:27:29,"佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-20 07:06:59,晨间跑步,6000.5,0:47:25,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-21 07:15:58,晨间跑步,5006.0,0:40:18,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-21 20:12:53,傍晚跑步,2321.1,0:16:04,"武汉工程大学(流芳校区), 流芳大道, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-04-23 07:13:13,晨间跑步,7003.7,0:58:11,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-23 19:25:17,傍晚跑步,1103.2,0:08:01,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-24 07:13:49,晨间跑步,2294.0,0:17:25,"金融港四路大舒村站, 金融港四路, 佛奥俊贤雅居, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-26 19:43:37,傍晚跑步,1017.0,0:09:52,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-27 12:06:59,午间跑步,2113.1,0:15:31,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-27 19:29:07,傍晚跑步,4005.2,0:30:04,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-04-28 07:09:31,晨间跑步,11319.7,1:34:50,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-04-29 05:56:29,晨间跑步,6661.7,0:49:43,"平江大道, 军安社区, 南占湾, 新洲区, 武汉市, 湖北省, 中国"
2023-05-02 06:36:59,晨间跑步,4131.2,0:35:23,"平江大道, 军安社区, 南占湾, 新洲区, 武汉市, 湖北省, 中国"
2023-05-03 18:33:58,傍晚跑步,4829.0,0:47:32,"后湖大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-05-04 07:50:13,晨间跑步,4032.2,0:30:48,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-05 07:17:02,晨间跑步,5009.9,0:37:29,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-05 19:13:31,傍晚跑步,4344.3,0:31:28,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-06 07:22:38,晨间跑步,12027.0,1:25:35,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-08 07:34:02,晨间跑步,6023.8,0:44:44,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-08 18:25:22,傍晚跑步,3029.0,0:22:25,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-09 07:33:08,晨间跑步,13012.7,1:18:11,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-09 19:16:27,傍晚跑步,4174.9,0:24:49,"武汉工程大学(流芳校区), 流芳大道, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-05-10 07:30:43,晨间跑步,3114.4,0:23:40,"佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-05-11 07:17:43,晨间跑步,7429.4,0:55:46,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-12 07:16:07,晨间跑步,5002.3,0:36:16,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-12 18:22:31,傍晚跑步,4172.0,0:30:53,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-13 07:45:23,晨间跑步,1304.4,0:08:50,"常青街道, 江汉区, 武汉市, 湖北省, 430024, 中国"
2023-05-13 22:13:54,晚间跑步,5516.2,0:40:49,"黎托路, 东山街道, 雨花区, 长沙市, 湖南省, 410128, 中国"
2023-05-14 06:22:17,晨间跑步,3762.2,0:27:27,"黎托路, 东山街道, 雨花区, 长沙市, 湖南省, 410128, 中国"
2023-05-17 07:35:53,晨间跑步,2020.4,0:14:18,"康魅路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 中国"
2023-05-17 19:02:58,晚间跑步,4004.6,0:28:19,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-18 07:26:59,晨间跑步,10015.9,0:54:58,"金融港四路大舒村站, 金融港四路, 佛奥俊贤雅居, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-18 19:09:16,傍晚跑步,5018.3,0:32:37,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-19 07:18:38,晨间跑步,5003.1,0:36:46,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-20 07:22:59,晨间跑步,4019.6,0:28:35,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-20 14:54:57,午后跑步,2189.0,0:16:02,"江夏区, 武汉市, 湖北省, 中国"
2023-05-22 07:55:02,晨间跑步,4007.0,0:29:26,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-22 11:28:47,午间跑步,2001.8,0:13:34,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-22 19:00:43,傍晚跑步,3010.2,0:22:43,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-23 07:15:48,晨间跑步,5006.5,0:36:46,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-24 07:30:50,晨间跑步,5000.4,0:35:56,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-24 18:29:01,晨间跑步,1010.9,0:06:54,"武汉工程大学(流芳校区), 流芳大道, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-05-25 07:32:11,晨间跑步,6006.2,0:44:13,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-25 18:38:35,傍晚跑步,4012.5,0:28:25,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-26 07:13:29,晨间跑步,5215.4,0:38:57,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-26 18:58:05,傍晚跑步,4009.9,0:28:04,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-29 18:35:37,傍晚跑步,6006.2,0:45:35,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-30 07:33:36,晨间跑步,6112.7,0:46:20,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-30 12:05:11,午间跑步,3007.6,0:24:07,"高新四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-30 19:30:46,傍晚跑步,5312.1,0:39:58,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-31 07:24:22,晨间跑步,9201.0,1:06:54,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-31 11:49:26,午间跑步,4802.5,0:40:16,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-05-31 18:30:36,傍晚跑步,3207.4,0:24:46,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-06-02 07:22:37,晨间跑步,5014.8,0:36:10,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-06-09 07:25:55,晨间跑步,3018.2,0:27:19,"金融港四路, 佛祖岭街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430075, 中国"
2023-09-22 07:11:29,晨间跑步,5621.6,0:47:58,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-23 07:15:33,晨间跑步,1005.7,0:07:51,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-24 07:20:09,晨间跑步,2008.5,0:14:51,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-25 07:35:31,晨间跑步,3006.6,0:23:31,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-26 07:23:34,恢复性跑步第四天,5008.0,0:37:40,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-27 07:15:48,晨间跑步,3004.1,0:23:59,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-10-29 19:15:52,傍晚跑步,4723.0,0:42:45,"解放大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-10-30 20:00:14,傍晚跑步,3232.3,0:23:45,"堤边路, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2023-10-31 07:22:32,晨间跑步,3513.3,0:27:49,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-01 07:16:51,晨间跑步,3193.2,0:26:17,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-01 19:38:26,傍晚跑步,4000.3,0:28:23,"解放大道, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2023-11-02 07:22:07,晨间跑步,5133.6,0:43:55,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-03 07:29:27,晨间跑步,1040.6,0:10:52,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-05 06:53:48,晨间跑步,2103.9,0:16:34,"平江大道, 军安社区, 南占湾, 新洲区, 武汉市, 湖北省, 中国"
2023-11-06 08:00:05,晨间跑步,2062.1,0:16:01,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-20 07:17:00,晨间跑步,3009.1,0:24:12,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-21 07:27:39,晨间跑步,2963.5,0:21:41,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-28 07:47:02,晨间跑步,1719.9,0:12:10,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-29 07:55:31,晨间跑步,2053.2,0:13:31,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-11-30 07:46:18,晨间跑步,1832.5,0:12:01,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-01 07:27:01,晨间跑步,3505.8,0:23:52,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-02 11:29:34,午间跑步,3008.7,0:21:17,"堤边路, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2023-12-03 09:33:39,晨间跑步,1506.2,0:10:50,"沙湖路, 徐家棚街道, 武昌区, 武汉市, 湖北省, 430062, 中国"
2023-12-05 07:35:58,晨间跑步,3003.0,0:20:21,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-06 07:11:30,晨间跑步,1820.3,0:12:54,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-07 07:53:37,晨间跑步,1043.7,0:07:41,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-08 07:28:00,晨间跑步,3117.0,0:23:29,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2023-12-09 07:38:04,晨间跑步,1004.6,0:07:18,"堤边路, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2023-12-10 11:01:31,午间跑步,353.0,0:02:22,"黄莺叫湾, 新洲区, 武汉市, 湖北省, 中国"
2023-12-12 07:53:33,晨间跑步,2328.4,0:19:27,"新玉路, 关东街道, 东湖新技术开发区（托管）, 洪山区, 武汉市, 湖北省, 430205, 中国"
2023-12-13 07:29:31,晨间跑步,1656.2,0:12:44,"关东街道, 东湖新技术开发区（托管）, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-04-14 11:51:14,午间跑步,1013.3,0:07:20,"幸福街, 汉黄社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 420112, 中国"
2024-04-15 07:31:23,晨间跑步,2005.3,0:17:37,"关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-04-16 19:59:00,傍晚跑步,2010.4,0:15:21,"游湖公交场站, 江岸路, 江中社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2024-04-17 20:11:19,傍晚跑步,2006.6,0:14:59,"堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 中国"
2024-04-18 20:41:45,晚间跑步,3276.6,0:26:46,"堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 中国"
2024-04-21 16:34:11,午后跑步,1020.4,0:08:16,"天兴村, 武汉市, 湖北省, 中国"
2024-04-25 20:27:42,傍晚跑步,3178.2,0:23:55,"解放大道, 丹北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2024-04-25 21:06:02,晚间跑步,1022.8,0:07:35,"堤边路公交场站, 解放大道, 丹北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430015, 中国"
2024-04-26 07:39:08,晨间跑步,2604.8,0:20:18,"关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-04-26 21:06:40,晚间跑步,2006.0,0:16:04,"游湖公交场站, 堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2024-04-27 07:25:30,晨间跑步,3687.6,0:29:17,"堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 中国"
2024-04-29 07:23:52,晨间跑步,5003.9,0:37:41,"关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-05-08 20:24:58,傍晚跑步,1958.3,0:16:13,"商职医院, 江北路, 江中社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 中国"
2024-05-09 07:39:09,晨间跑步,3225.9,0:24:58,"关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-05-12 08:08:49,晨间跑步,1166.1,0:08:44,"堤角小学B区, 江北路, 江中社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 中国"
2024-05-15 07:52:14,晨间跑步,1003.9,0:07:59,"海纳路, 关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430200, 中国"
2024-05-17 07:42:01,晨间跑步,1516.4,0:11:13,"关东街道, 东湖新技术开发区, 江夏区, 武汉市, 湖北省, 430074, 中国"
2024-06-29 22:02:02,晚间跑步,3144.5,0:24:03,"游湖公交场站, 堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2024-06-30 17:14:56,午后跑步,3371.8,0:27:07,"游湖公交场站, 堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
2024-07-02 20:17:57,傍晚跑步,2751.6,0:24:42,"游湖公交场站, 堤边路, 江北社区, 丹水池街道, 江岸区, 武汉市, 湖北省, 430080, 中国"
